Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Individual_ID,Phenophase_ID,Phenophase_Description,First_Yes_Year,First_Yes_Month,First_Yes_Day,First_Yes_DOY,First_Yes_Julian_Date,NumDays_Since_Prior_No,Last_Yes_Year,Last_Yes_Month,Last_Yes_Day,Last_Yes_DOY,Last_Yes_Julian_Date,NumDays_Until_Next_No
2,43.08535,-70.69133,12,ME,74,Fraxinus,americana,white ash,Plantae,2103,180,>=75% of full leaf size (deciduous),2009,5,25,145,2454977,6,2009,10,17,290,2455122,-9999
2,43.08535,-70.69133,12,ME,74,Fraxinus,americana,white ash,Plantae,2103,181,>=50% of leaves colored (deciduous),2009,10,5,278,2455110,18,2009,10,21,294,2455126,-9999
2,43.08535,-70.69133,12,ME,74,Fraxinus,americana,white ash,Plantae,2103,182,All leaves colored (deciduous),2009,10,11,284,2455116,6,2009,10,21,294,2455126,-9999
2,43.08535,-70.69133,12,ME,74,Fraxinus,americana,white ash,Plantae,2103,183,>=50% of leaves fallen (deciduous),2009,10,11,284,2455116,6,2009,10,21,294,2455126,-9999
2,43.08535,-70.69133,12,ME,74,Fraxinus,americana,white ash,Plantae,2103,184,All leaves fallen (deciduous),2009,10,21,294,2455126,4,2009,10,21,294,2455126,-9999
2,43.08535,-70.69133,12,ME,74,Fraxinus,americana,white ash,Plantae,2103,186,Full flowering (50%),2009,5,15,135,2454967,4,2009,5,15,135,2454967,4
2,43.08535,-70.69133,12,ME,74,Fraxinus,americana,white ash,Plantae,2103,371,Breaking leaf buds,2009,5,2,122,2454954,13,2009,5,19,139,2454971,6
2,43.08535,-70.69133,12,ME,74,Fraxinus,americana,white ash,Plantae,2103,483,Leaves,2009,5,15,135,2454967,4,2009,10,17,290,2455122,-9999
2,43.08535,-70.69133,12,ME,74,Fraxinus,americana,white ash,Plantae,2103,501,Open flowers,2009,5,11,131,2454963,22,2009,5,19,139,2454971,6
183,48.614853,-100.726822,438,ND,75,Fraxinus,pennsylvanica,green ash,Plantae,3022,180,>=75% of full leaf size (deciduous),2009,6,7,158,2454990,-9999,2009,6,7,158,2454990,-9999
183,48.614853,-100.726822,438,ND,75,Fraxinus,pennsylvanica,green ash,Plantae,3022,186,Full flowering (50%),2009,5,24,144,2454976,-9999,2009,5,24,144,2454976,-9999
183,48.614853,-100.726822,438,ND,75,Fraxinus,pennsylvanica,green ash,Plantae,3022,371,Breaking leaf buds,2009,5,22,142,2454974,-9999,2009,5,22,142,2454974,-9999
183,48.614853,-100.726822,438,ND,75,Fraxinus,pennsylvanica,green ash,Plantae,3022,483,Leaves,2009,5,27,147,2454979,-9999,2009,5,27,147,2454979,-9999
414,44.277962,-70.315315,150,ME,74,Fraxinus,americana,white ash,Plantae,2031,180,>=75% of full leaf size (deciduous),2009,5,24,144,2454976,12,2009,5,24,144,2454976,-9999
414,44.277962,-70.315315,150,ME,74,Fraxinus,americana,white ash,Plantae,2031,186,Full flowering (50%),2009,5,3,123,2454955,8,2009,5,7,127,2454959,5
414,44.277962,-70.315315,150,ME,74,Fraxinus,americana,white ash,Plantae,2031,371,Breaking leaf buds,2009,5,7,127,2454959,4,2009,5,12,132,2454964,12
414,44.277962,-70.315315,150,ME,74,Fraxinus,americana,white ash,Plantae,2031,483,Leaves,2009,5,12,132,2454964,5,2009,5,24,144,2454976,-9999
414,44.277962,-70.315315,150,ME,74,Fraxinus,americana,white ash,Plantae,2031,501,Open flowers,2009,4,25,115,2454947,-9999,2009,5,7,127,2454959,5
949,39.816456,-83.858879,309,OH,75,Fraxinus,pennsylvanica,green ash,Plantae,1244,180,>=75% of full leaf size (deciduous),2009,5,10,130,2454962,7,2009,5,10,130,2454962,-9999
949,39.816456,-83.858879,309,OH,75,Fraxinus,pennsylvanica,green ash,Plantae,1244,371,Breaking leaf buds,2009,5,3,123,2454955,-9999,2009,5,10,130,2454962,-9999
949,39.816456,-83.858879,309,OH,75,Fraxinus,pennsylvanica,green ash,Plantae,1244,483,Leaves,2009,5,3,123,2454955,-9999,2009,5,10,130,2454962,-9999
1109,44.750778,-108.767281,1344,WY,75,Fraxinus,pennsylvanica,green ash,Plantae,1385,180,>=75% of full leaf size (deciduous),2009,5,28,148,2454980,1,2009,10,5,278,2455110,7
1109,44.750778,-108.767281,1344,WY,75,Fraxinus,pennsylvanica,green ash,Plantae,1385,183,>=50% of leaves fallen (deciduous),2009,10,14,287,2455119,2,2009,10,28,301,2455133,-9999
1109,44.750778,-108.767281,1344,WY,75,Fraxinus,pennsylvanica,green ash,Plantae,1385,186,Full flowering (50%),2009,5,9,129,2454961,1,2009,5,14,134,2454966,1
1109,44.750778,-108.767281,1344,WY,75,Fraxinus,pennsylvanica,green ash,Plantae,1385,371,Breaking leaf buds,2009,5,10,130,2454962,1,2009,5,20,140,2454972,1
1109,44.750778,-108.767281,1344,WY,75,Fraxinus,pennsylvanica,green ash,Plantae,1385,371,Breaking leaf buds,2009,10,30,303,2455135,2,2009,10,30,303,2455135,7
1109,44.750778,-108.767281,1344,WY,75,Fraxinus,pennsylvanica,green ash,Plantae,1385,483,Leaves,2009,5,17,137,2454969,1,2009,5,28,148,2454980,60
1109,44.750778,-108.767281,1344,WY,75,Fraxinus,pennsylvanica,green ash,Plantae,1385,483,Leaves,2009,10,30,303,2455135,2,2009,10,30,303,2455135,-9999
1109,44.750778,-108.767281,1344,WY,75,Fraxinus,pennsylvanica,green ash,Plantae,1385,501,Open flowers,2009,5,4,124,2454956,1,2009,5,16,136,2454968,1
1503,44.978004,-93.181702,271,MN,75,Fraxinus,pennsylvanica,green ash,Plantae,3104,184,All leaves fallen (deciduous),2009,4,5,95,2454927,-9999,2009,4,5,95,2454927,-9999
1503,44.978004,-93.181702,271,MN,75,Fraxinus,pennsylvanica,green ash,Plantae,3106,184,All leaves fallen (deciduous),2009,4,5,95,2454927,-9999,2009,4,5,95,2454927,-9999
1503,44.978004,-93.181702,271,MN,75,Fraxinus,pennsylvanica,green ash,Plantae,3107,184,All leaves fallen (deciduous),2009,4,5,95,2454927,-9999,2009,4,5,95,2454927,-9999
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,3218,180,>=75% of full leaf size (deciduous),2009,5,2,122,2454954,1,2009,5,2,122,2454954,-9999
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,3230,180,>=75% of full leaf size (deciduous),2009,5,9,129,2454961,2,2009,5,9,129,2454961,-9999
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,3231,180,>=75% of full leaf size (deciduous),2009,5,6,126,2454958,3,2009,5,6,126,2454958,-9999
1668,40.866283,-73.875717,21,NY,74,Fraxinus,americana,white ash,Plantae,4265,180,>=75% of full leaf size (deciduous),2009,10,10,283,2455115,6,2009,10,10,283,2455115,-9999
